Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description
1315,1315. Billy Elliot,2000,7.7,110,147000,R,74,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
1316,1316. Goldfinger,1964,7.7,110,208000,Approved,87,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
1317,1317. Adaptation.,2002,7.7,115,207000,R,83,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
1318,1318. The Trial of the Chicago 7,2020,7.7,129,198000,R,76,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
1319,1319. As Good as It Gets,1997,7.7,139,326000,PG-13,67,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
1320,1320. Dirty Harry,1971,7.7,102,173000,R,87,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
1321,1321. Being John Malkovich,1999,7.7,113,360000,R,90,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
1322,1322. The Great Beauty,2013,7.7,141,101000,Not Rated,86,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
1323,1323. Detachment,2011,7.7,98,104000,Not Rated,52,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
1324,1324. Star Trek II: The Wrath of Khan,1982,7.7,113,132000,PG,68,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
1325,1325. Happiness,1998,7.7,134,77000,NC-17,81,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection."
1326,1326. Kung Fu Hustle,2004,7.7,99,155000,R,78,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
1327,1327. Roma,2018,7.7,135,173000,R,96,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
1328,1328. The Color Purple,1985,7.7,154,100000,PG-13,78,"A tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry."
1329,1329. Lucky Number Slevin,2006,7.7,110,331000,R,53,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
1330,1330. Miller's Crossing,1990,7.7,115,145000,R,66,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
1331,1331. Serpico,1973,7.7,130,139000,R,83,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
1332,1332. Breaking Away,1979,7.7,101,26000,PG,91,A working-class Indiana teen obsessed with the Italian cycling team vies for the affections of a college girl while searching for life goals with his friends.
1333,1333. Days of Heaven,1978,7.7,94,65000,PG,94,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.
1334,1334. Changeling,2008,7.7,141,269000,R,63,"After Christine's son goes missing, she reaches out to the LAPD to find him, but when they try to pass off an impostor as her son to quiet public protests, she refuses to accept him or give up hope."
1335,1335. Ordinary People,1980,7.7,124,59000,R,86,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
1336,1336. Bonnie and Clyde,1967,7.7,111,123000,R,86,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
1337,1337. Clerks,1994,7.7,92,236000,R,70,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
1338,1338. The French Connection,1971,7.7,104,140000,R,94,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
1339,1339. This Is England,2006,7.7,101,131000,Not Rated,86,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
1340,1340. My Fair Lady,1964,7.7,170,104000,G,95,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society."
1341,1341. Black Narcissus,1947,7.7,101,29000,Approved,86,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad."
1342,1342. There's Still Tomorrow,2023,7.7,118,14000,N/A,N/A,"In this moving comedic drama set in postwar Rome, a working-class wife and mother dreams of a better future. Winner of 6 Italian Academy Awards."
1343,1343. Sorcerer,1977,7.7,121,30000,PG,68,Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous Latin American jungle.
1344,1344. Malcolm X,1992,7.7,202,105000,PG-13,73,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination."
1345,1345. About Dry Grasses,2023,7.7,197,16000,Not Rated,88,"A young teacher hopes to be transferred to Istanbul after four years of mandatory service in a remote village, but is accused of inappropriate contact by two students. After losing hope, a colleague offers him new perspectives on life."
1346,1346. The Last Emperor,1987,7.7,163,115000,PG-13,76,Bernardo Bertolucci's Oscar-winning dramatization of China's eleventh and final monarch of the Qing dynasty: Emperor Puyi.
1347,1347. Kubo and the Two Strings,2016,7.7,101,142000,PG,84,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
1348,1348. Open Your Eyes,1997,7.7,119,75000,R,N/A,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
1349,1349. Badlands,1973,7.7,94,80000,PG,94,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands."
1350,1350. The Quiet Girl,2022,7.7,95,25000,PG-13,89,"In rural Ireland, a quiet, neglected girl is sent away from her dysfunctional family to live with relatives for the summer where she blossoms and learns what it is to be loved."
1351,1351. My Dinner with Andre,1981,7.7,110,28000,PG,83,"Two old friends meet for dinner; as one tells anecdotes detailing his experiences, the other notices their differing worldviews."
1352,1352. Black Book,2006,7.7,145,82000,R,71,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance. Things get complicated when she falls for the enemy."
1353,1353. Ray,2004,7.7,152,160000,PG-13,73,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
1354,1354. Evil Dead II,1987,7.7,84,188000,R,72,"Ash Williams, the lone survivor of an earlier onslaught of flesh-possessing spirits, holes up in a cabin with a group of strangers while the demons continue their attack."
1355,1355. Me and Earl and the Dying Girl,2015,7.7,105,141000,PG-13,74,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
1356,1356. Mother,2009,7.7,129,75000,R,79,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
1357,1357. Hamlet,1996,7.7,242,41000,PG-13,N/A,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
1358,1358. The Man from Nowhere,2010,7.7,119,77000,R,N/A,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
1359,1359. Hanu Man,2024,7.7,158,29000,N/A,N/A,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.
1360,1360. A Man Called Ove,2015,7.7,116,71000,PG-13,70,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
1361,1361. In America,2002,7.7,105,45000,PG-13,76,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
1362,1362. The African Queen,1951,7.7,105,86000,PG,91,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
