Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3
The Salt of the Earth,0.9074074074074083,0.5263157894736836,0.10236220472440946,0.00468227424749164,12,0.7638888888888888,"The life and work of photographer Sebastião Salgado, who has spent forty years documenting societies in hidden corners of the world.",James Cameron,,,,,,
The Cove,0.8611111111111107,0.5263157894736836,0.06692913385826774,0.014046822742474917,12A,0.7777777777777777,"Using state-of-the-art equipment, a group of activists, led by renowned dolphin trainer Ric O'Barry, infiltrate a cove near Taijii, Japan to expose both a shocking instance of animal abuse and a serious threat to human health.",Hayao Miyazaki,,,,,,
Black Friday,0.8148148148148131,0.5263157894736836,0.1673228346456693,0.004347826086956523,18,0.6666666666666667,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",Bilal Lashari,,,,,,
Oppenheimer,0.9907407407407405,0.4736842105263155,0.24015748031496062,0.28160535117056856,15,0.8611111111111112,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",Ridley Scott,,,,,,
Requiem for a Dream,0.7777777777777786,0.4736842105263155,0.08661417322834647,0.3073578595317726,18,0.5972222222222222,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Denis Villeneuve,,,,,,
Heat,0.731481481481481,0.4736842105263155,0.22047244094488191,0.24615384615384617,15,0.6666666666666667,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Bong Joon Ho,,,,,,
Eternal Sunshine of the Spotless Mind,0.8148148148148131,0.4736842105263155,0.09842519685039372,0.3645484949832776,15,0.8472222222222221,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",Christopher Nolan,,,,,,
The Sting,0.5277777777777786,0.4736842105263155,0.13976377952755906,0.09297658862876254,PG,0.7638888888888888,Two grifters team up to pull off the ultimate con.,Quentin Tarantino,,,,,,
American Beauty,0.768518518518519,0.4736842105263155,0.12598425196850394,0.3979933110367893,18,0.7777777777777777,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Ridley Scott,,,,,,
Incendies,0.8703703703703702,0.4736842105263155,0.1437007874015748,0.07090301003344482,15,0.7222222222222223,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Damien Chazelle,,,,,,
