Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
49,49. Resurrection,2018,8.7,147,17000,Not Rated,,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",Ram,"Mammootty, Sadhana, Anjali"
50,"50. Feyzo, the Polite One",1978,8.7,83,18000,,,"A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has to pay a lot of money to the bride's father in order to get the bride's hand.",Atif Yilmaz,"Kemal Sunal, Müjde Ar, Adile Nasit"
51,51. Manichithrathazhu,1993,8.7,169,13000,Not Rated,,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Fazil,"Mohanlal, Shobana, Suresh Gopi"
52,52. Happy Days,1978,8.7,95,12000,,,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.,Orhan Aksoy,"Münir Özkul, Adile Nasit, Sener Sen"
53,53. The Chaos Class Is Waking Up,1976,8.7,94,21000,,,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,Ertem Egilmez,"Münir Özkul, Kemal Sunal, Halit Akçatepe"
54,54. Se7en,1995,8.6,127,1900000,R,65.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey"
55,55. Saving Private Ryan,1998,8.6,169,1500000,R,91.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore"
56,56. The Silence of the Lambs,1991,8.6,118,1600000,R,86.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn"
57,57. The Green Mile,1999,8.6,189,1500000,R,61.0,"Paul Edgecomb, the head death row guard at a prison in 1930s Louisiana, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift.",Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse"
58,58. Star Wars: Episode IV - A New Hope,1977,8.6,121,1500000,PG,90.0,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher"
59,59. City of God,2002,8.6,130,827000,R,79.0,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Fernando Meirelles, Kátia Lund","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
60,60. Terminator 2: Judgment Day,1991,8.6,137,1200000,R,75.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
61,61. Spirited Away,2001,8.6,124,892000,PG,96.0,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino"
62,62. Life Is Beautiful,1997,8.6,116,767000,PG-13,58.0,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
63,63. It's a Wonderful Life,1946,8.6,130,522000,PG,89.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore"
64,64. Seven Samurai,1954,8.6,207,379000,Not Rated,98.0,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
65,65. Harakiri,1962,8.6,133,77000,Not Rated,85.0,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
66,66. Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,8.6,87,29000,,,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,Haruo Sotozaki,
67,67. A Dog's Will,2000,8.6,104,18000,,,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people to survive, but their plans are halted when a bandit comes to town.",Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso"
68,68. Earthlings,2005,8.6,95,20000,,,"Using hidden cameras and never-before-seen footage, Earthlings chronicles the day-to-day practices of the largest industries in the world, all of which rely entirely on animals for profit.",Shaun Monson,Joaquin Phoenix
69,69. The Legend of Maula Jatt,2022,8.6,153,11000,,,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",Bilal Lashari,"Fawad Khan, Mahira Khan, Humaima Malik"
70,70. Anbe Sivam,2003,8.6,160,26000,Not Rated,,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",Sundar C.,"Kamal Haasan, Madhavan, Kiran Rathod"
71,"71. Pretty Village, Pretty Flame",1996,8.6,115,18000,,,"During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.",Srdjan Dragojevic,"Dragan Bjelogrlic, Nikola Kojo, Dragan Maksimovic"
72,72. My Dear Brother,1973,8.6,86,11000,,,Two poor men try to find a television as a last wish for the terminally ill brother of one of them.,Ertem Egilmez,"Tarik Akan, Halit Akçatepe, Kahraman Kiral"
73,73. Daman,2022,8.6,121,14000,,,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.","Lenka Debiprasad, Vishal Mourya","Karan Kandhapan, Babushan Mohanty, Dipanwit Dashmohapatra"
74,74. The Broken Landlord,1985,8.6,101,17000,,,The landlord of a village in eastern Turkey decides to sell his land after a severe drought and migrates to Istanbul with his family. However the struggle for survival in the 'big city' will not be easier for them.,Nesli Çölgeçen,"Sener Sen, Erdal Özyagcilar, Nilgün Nazli"
75,75. The Chaos Class Is on Vacation,1977,8.6,97,19000,,,Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first but later they understand that female students are trouble as much as Hababam Sinifi and played with them so they decide to fight against that girls.,Ertem Egilmez,"Münir Özkul, Kemal Sunal, Adile Nasit"
76,76. Gladiator,2000,8.5,155,1700000,R,67.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
77,77. Dune: Part Two,2024,8.5,166,586000,PG-13,79.0,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
78,78. Parasite,2019,8.5,132,1000000,R,97.0,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
79,79. Alien,1979,8.5,117,1000000,R,89.0,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt"
80,80. The Prestige,2006,8.5,130,1500000,PG-13,66.0,Rival 19th-century magicians engage in a bitter battle for trade secrets.,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson"
81,81. The Departed,2006,8.5,151,1500000,R,85.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
82,82. The Lion King,1994,8.5,88,1200000,G,88.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones"
83,83. Léon: The Professional,1994,8.5,110,1300000,R,64.0,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman"
84,84. Whiplash,2014,8.5,106,1000000,R,89.0,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist"
85,85. The Usual Suspects,1995,8.5,106,1200000,R,76.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
86,86. Django Unchained,2012,8.5,165,1800000,R,81.0,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
87,87. Back to the Future,1985,8.5,116,1400000,PG,87.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
88,88. Spider-Man: Across the Spider-Verse,2023,8.5,140,432000,PG,86.0,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
89,89. The Pianist,2002,8.5,150,952000,R,85.0,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
90,90. American History X,1998,8.5,119,1200000,R,62.0,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo"
91,91. Once Upon a Time in the West,1968,8.5,166,363000,PG-13,82.0,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale"
92,92. Grave of the Fireflies,1988,8.5,88,337000,Not Rated,94.0,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
93,93. Casablanca,1942,8.5,102,624000,PG,100.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
94,94. The Intouchables,2011,8.5,112,964000,R,57.0,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny"
95,95. Psycho,1960,8.5,109,743000,R,97.0,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles"
96,96. Cinema Paradiso,1988,8.5,174,296000,PG,80.0,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
97,97. Rear Window,1954,8.5,112,540000,PG,100.0,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey"
98,98. Dear Zachary: A Letter to a Son About His Father,2008,8.5,95,42000,Not Rated,82.0,A filmmaker decides to memorialize a murdered friend when his friend's ex-girlfriend announces she is expecting his son.,Kurt Kuenne,"Kurt Kuenne, Andrew Bagby, David Bagby"
99,99. Modern Times,1936,8.5,87,269000,G,96.0,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman"
100,100. City Lights,1931,8.5,87,204000,G,99.0,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee"
101,101. Senna,2010,8.5,106,80000,PG-13,79.0,"A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.",Asif Kapadia,"Ayrton Senna, Reginaldo Leme, John Bisignano"
102,102. Sita Ramam,2022,8.5,163,74000,,,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna"
103,103. 20 Days in Mariupol,2023,8.5,95,24000,TV-PG,83.0,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.",Mstyslav Chernov,"Liudmyla Amelkina, Mstyslav Chernov, Roman Golovanov"
104,104. The Best of Youth,2003,8.5,374,25000,R,89.0,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca"
105,105. Baraka,1992,8.5,96,42000,Not Rated,,A collection of expertly photographed scenes of human life and religion.,Ron Fricke,Patrick Disanto
106,106. The Kashmir Files,2022,8.5,170,576000,Not Rated,,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar"
107,107. Kumbalangi Nights,2019,8.5,135,19000,,,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love.",Madhu C. Narayanan,"Shane Nigam, Soubin Shahir, Fahadh Faasil"
108,108. 96,2018,8.5,158,40000,,,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,C. Prem Kumar,"Vijay Sethupathi, Trisha Krishnan, Adithya Bhaskar"
109,109. The Hole,1960,8.5,131,21000,Not Rated,,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.,Jacques Becker,"André Bervil, Jean Keraudy, Michel Constantin"
110,110. Intoxicated by Love,2024,8.5,118,11000,,,"Story of Rumi, his friendship with Shams Tabrizi, the love he had for him and the great influence of Shams over him in his life, his poetry and his love for God.",Hasan Fathi,"Parsa Pirouzfar, Shahab Hosseini, Hande Erçel"
111,111. For Sama,2019,8.5,100,13000,TV-PG,89.0,FOR SAMA is both an intimate and epic journey into the female experience of war.,"Waad Al-Kateab, Edward Watts","Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab"
112,112. Gol Maal,1979,8.5,120,21000,Not Rated,,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,Hrishikesh Mukherjee,"Amol Palekar, Utpal Dutt, Bindiya Goswami"
113,113. Jersey,2019,8.5,157,24000,Not Rated,,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,Gowtam Tinnanuri,"Nani, Shraddha Srinath, Sathyaraj"
114,114. Sarpatta Parambarai,2021,8.5,173,26000,,,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?",Pa. Ranjith,"Arya, Pasupathy, John Kokken"
115,115. Kaiva,2023,8.5,138,69000,,,"Inspired from the true incidents occurred in Bengaluru - 1983, Kaiva brings the visual grandeur of Old Bengaluru showing the lights of world famous Bengaluru Karaga and the dark underworld of the city as well.",Jayathirtha,"Dharmendra Aras, Agratha Ashok, Anand Babu"
116,116. Thalapathi,1991,8.5,157,14000,Not Rated,,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.,Mani Ratnam,"Rajinikanth, Mammootty, Shobana"
117,117. Home,2009,8.5,118,23000,Not Rated,47.0,"With aerial footage from fifty-four countries, 'Home' is a depiction of how Earth's problems are all interlinked.",Yann Arthus-Bertrand,"Yann Arthus-Bertrand, Glenn Close, Jacques Gamblin"
118,118. The Girl with the Red Scarf,1977,8.5,90,17000,,,"Story of a dilemma between a woman's love and her logic. Asya, a young girl with a strict mother, meets Ilyas, who is a womanizer city man, and they quickly fall in love. They get over the hardships and have a happy marriage. However, after he helps a man one night, Ilyas' life changes forever and he leaves Asya and their son for another woman and doesn't come back.",Atif Yilmaz,"Türkan Soray, Kadir Inanir, Ahmet Mekin"
119,119. The King of the Street Cleaners,1977,8.5,80,22000,,,"Going through his daily routine in a stereotypical neighborhood, a street cleaner falls in love with a charwoman. Unfortunately for him, so does his boss.",Zeki Ökten,"Kemal Sunal, Sener Sen, Aysen Gruda"
120,120. Zübük,1980,8.5,88,12000,,,"Zübük gets expelled from the political party that he is a member of, due to corruption. The journalist Yasar wants to make a news story about his case and investigates Zübük's doings. Yasar gets baffled at the sly tricks Zübük played on his village people.",Kartal Tibet,"Kemal Sunal, Nevra Serezli, Metin Serezli"
121,121. Inglourious Basterds,2009,8.4,153,1700000,R,69.0,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth"
122,122. Avengers: Endgame,2019,8.4,181,1300000,PG-13,78.0,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo"
123,123. Memento,2000,8.4,113,1400000,R,83.0,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
124,124. Apocalypse Now,1979,8.4,147,733000,R,94.0,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall"
125,125. Raiders of the Lost Ark,1981,8.4,115,1100000,PG,86.0,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman"
126,126. The Dark Knight Rises,2012,8.4,164,1900000,PG-13,78.0,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway"
127,127. Aliens,1986,8.4,137,800000,R,84.0,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn"
128,128. The Shining,1980,8.4,146,1200000,R,68.0,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
129,129. Avengers: Infinity War,2018,8.4,149,1300000,PG-13,68.0,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
130,130. Maharaja,2024,8.4,141,62000,,,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
131,131. Spider-Man: Into the Spider-Verse,2018,8.4,117,713000,PG,87.0,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld"
132,132. Amadeus,1984,8.4,160,443000,PG,87.0,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge"
133,133. Your Name.,2016,8.4,106,346000,,81.0,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
134,134. The Lives of Others,2006,8.4,137,423000,R,89.0,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch"
135,135. Coco,2017,8.4,105,634000,PG,81.0,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
136,136. WALL·E,2008,8.4,98,1200000,G,95.0,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin"
137,137. 3 Idiots,2009,8.4,170,452000,PG-13,67.0,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh"
138,138. Das Boot,1981,8.4,149,275000,,85.0,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
139,139. Sunset Boulevard,1950,8.4,110,246000,Approved,94.0,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim"
140,140. Capernaum,2018,8.4,126,113000,R,75.0,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole"
141,141. Witness for the Prosecution,1957,8.4,116,147000,Approved,76.0,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton"
142,142. Lost Ladies,2023,8.4,122,48000,TV-14,,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.",Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Shrivastava"
143,143. Paths of Glory,1957,8.4,88,223000,Approved,90.0,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou"
144,144. Meiyazhagan,2024,8.4,177,13000,,,A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.,C. Prem Kumar,"Arvind Swamy, Karthi, Sri Divya"
145,145. High and Low,1963,8.4,143,58000,Not Rated,90.0,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
146,146. The Great Dictator,1940,8.4,125,246000,G,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie"
147,147. Kaithi,2019,8.4,145,46000,,,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Lokesh Kanagaraj,"Karthi, Narain, Arjun Das"
148,148. Samsara,2011,8.4,102,39000,PG-13,65.0,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",Ron Fricke,"Balinese Tari Legong Dancers, Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi"
149,149. Woman in the Dunes,1964,8.4,147,24000,Not Rated,,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.,Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Kôji Mitsui"
150,150. The Salt of the Earth,2014,8.4,110,24000,PG-13,83.0,"The life and work of photographer Sebastião Salgado, who has spent forty years documenting societies in hidden corners of the world.","Juliano Ribeiro Salgado, Wim Wenders","Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado"
151,151. The Cove,2009,8.4,92,52000,PG-13,84.0,"Using state-of-the-art equipment, a group of activists, led by renowned dolphin trainer Ric O'Barry, infiltrate a cove near Taijii, Japan to expose both a shocking instance of animal abuse and a serious threat to human health.",Louie Psihoyos,"Richard O'Barry, Louie Psihoyos, Hardy Jones"
152,152. The Pinchcliffe Grand Prix,1975,8.4,88,15000,G,,Reodor Felgen decides that he will enter a car race to defeat his former friend who has stolen his plans for a car.,Ivo Caprino,"Wenche Foss, Per Theodor Haugen, Harald Heide-Steen Jr."
153,153. Asuran,2019,8.4,141,35000,,,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj"
154,154. Sansho the Bailiff,1954,8.4,124,19000,Not Rated,96.0,"In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression.",Kenji Mizoguchi,"Kinuyo Tanaka, Yoshiaki Hanayagi, Kyôko Kagawa"
155,155. Black Friday,2004,8.4,143,22000,Not Rated,76.0,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",Anurag Kashyap,"Kay Kay Menon, Pawan Malhotra, Aditya Srivastav"
156,156. The Lizard,2004,8.4,115,23000,,,A recently jailed petty thief disguises as a Mullah and succeeds in escaping; but has to stay in the Mullah' role longer than he expected to.,Kamal Tabrizi,"Parviz Parastui, Bahram Ebrahimi, Reza Saeedi"
157,157. Vada Chennai,2018,8.4,164,21000,,,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.,Vetrimaaran,"Dhanush, Ameer Sultan, Radha Ravi"
